school_id,school_name,school_name_long,lat,lon,zip,category,grades,cap_lb,eng_scores_1819,math_scores_1819,greatschools_rating,ela_color,math_color,chronic_color,suspension_color,MetStandards,AvgColorIndex,attendance_area,Block,BlockGroup,Tract
413,Alamo ES,Alamo Elementary School,37.783001,-122.482263,94121,Attendance,K-5th,96,2446.964286,2478.72619,9,Green,Green,Orange,Blue,0.61478597,3.75,413,60750426011000,60750426011,6075042601.0
420,Alvarado ES (TK-5),Alvarado Elementary School,37.753715,-122.438162,94114,Attendance,TK-5th,93,2454.342105,2454.828947,7,Green,Green,Orange,Blue,0.51914895,3.75,420,60750212003004,60750212003,6075021200.0
435,Argonne ES (PK-TK-5),Argonne Elementary School,37.775337,-122.476329,94121,Attendance,PK-TK-5th,92,2474.05,2496.065574,8,Blue,Blue,Yellow,Blue,0.54298645,4.5,435,60750476003004,60750476003,6075047600.0
449,Carmichael (PK-TK-5),Bessie Carmichael School,37.77609125,-122.406448,94103,Citywide,PK-TK-5th,79,2370.779412,2382.029412,3,Orange,Orange,Red,Green,0.20163488,2.25,497,60750178021021,60750178021,6075017802.0
497,Webster ES,Daniel Webster Elementary School,37.760521,-122.395844,94107,Attendance,K-5th,64,2447.326923,2450.596154,5,Yellow,Green,Orange,Blue,0.248,3.5,497,60750227022009,60750227022,6075022702.0
453,Harte ES (PK-TK-5),Bret Harte Elementary School,37.717516,-122.389079,94124,Attendance,PK-TK-5th,38,2317.03125,2351.8125,1,Red,Yellow,Red,Blue,0.02325581,2.5,453,60750234002018,60750234002,6075023400.0
456,Bryant ES (PK-5),Bryant School,37.751631,-122.404701,94110,Attendance,PK-5th,46,2405.074074,2426.482759,3,Orange,Yellow,Red,Orange,0.13043478,2.0,456,60750229032009,60750229032,6075022903.0
476,Lee Newcomer School (K-5),Edwin and Anita Lee Newcomer School ,37.794768,-122.404058,94111,Citywide,K-5th,0,0.0,0.0,5,None,None,Blue,Blue,0.35,3.0,872,60750611001015,60750611001,6075061100.0
872,Chin ES,John Yehall Chin Elementary School,37.798611,-122.403217,94133,Attendance,K-5th,46,2519.465116,2541.255814,10,Blue,Blue,Green,Blue,0.63829786,4.75,872,60750106002000,60750106002,6075010600.0
478,Clarendon ES,Clarendon Elementary School,37.753757,-122.456323,94131,Attendance,K-5th,90,2495.235294,2487.97619,9,Blue,Blue,Orange,Green,0.6287879,4.0,478,60750301022010,60750301022,6075030102.0
485,Yu (K-8),Alice Fong Yu School,37.75891,-122.469711,94122,Citywide,K-8th,66,2465.666667,2468.19697,9,Green,Green,Yellow,Yellow,0.6944444,3.5,478,60750303011000,60750303011,6075030301.0
796,Rooftop (PK-4),Rooftop School,37.754995,-122.443917,94131,Citywide,PK-4th,66,2434.453125,2434.390625,6,Green,Green,Orange,Orange,0.50797874,3.0,478,60750204022013,60750204022,6075020402.0
