Grade,PathwayCode,PathwayName,SchNum,SchoolName,Scenario_A_Capacity,Scenario_B_Capacity,Scenario_C_Capacity,Scenario_D_Capacity
K,SA,SDC - Mod/Severe Autism Focus,413,Alamo ES,4,4,4,4
K,GE,Gen Ed,413,Alamo ES,64,64,64,64
K,MS,SDC - Moderate to Severe,420,Alvarado ES,3,3,3,3
K,SE,Spanish Immersion (Non-Native),420,Alvarado ES,18,18,18,18
K,SN,Spanish Immersion (Spanish Speakers),420,Alvarado ES,26,26,26,26
K,GE,Gen Ed,420,Alvarado ES,42,42,42,42
K,GE,Gen Ed,435,Argonne ES,64,64,64,64
K,GE,Gen Ed,456,Bryant ES,22,22,22,22
K,SB,Spanish Biliteracy,456,Bryant ES,22,22,22,22
K,MM,SDC - Mild to Moderate,618,Buena Vista Horace Mann K-8,4,2,4,4
K,SE,Spanish Immersion (Non-Native),618,Buena Vista Horace Mann K-8,27,27,27,27
K,SN,Spanish Immersion (Spanish Speakers),618,Buena Vista Horace Mann K-8,39,39,39,39
K,FB,Filipino FLES,449,Carmichael (Bessie) K-8,22,11,22,22
K,GE,Gen Ed,449,Carmichael (Bessie) K-8,44,44,44,44
K,GE,Gen Ed,625,Carver (Dr George W) ES,66,22,66,66
K,TC,SDC - Total Communication,603,Chavez (Cesar) ES,4,4,4,4
K,GE,Gen Ed,603,Chavez (Cesar) ES,44,22,44,44
K,SB,Spanish Biliteracy,603,Chavez (Cesar) ES,44,44,44,44
K,CB,Cantonese Biliteracy,872,Chin (John Yehall) ES,0,22,0,0
K,GE,Gen Ed,872,Chin (John Yehall) ES,22,22,0,22
K,CE,Cantonese Immersion (All English),509,Chinese Immersion School at DeAvila ES,27,27,27,27
K,CN,Cantonese Immersion (Cantonese Speakers),509,Chinese Immersion School at DeAvila ES,39,39,39,39
K,MM,SDC - Mild to Moderate,478,Clarendon ES,3,5,3,3
K,JN,Japanese Bilingual Bicultural Program - Japanese Cohort,478,Clarendon ES,10,10,10,10
K,JE,Japanese Bilingual Bicultural Program - English Cohort,478,Clarendon ES,34,34,34,34
K,GE,Gen Ed,478,Clarendon ES,42,42,42,42
K,GE,Gen Ed,481,Cleveland ES,22,22,22,22
